Pixel Index,ANOVA Score,p-value,Status,Rank
1121,18.048102311930187,9.974485062388878e-21,Eliminated,285.0
1978,18.018098200138798,1.0850074876039641e-20,Eliminated,286.0
1018,18.01427526573497,1.0967021324029672e-20,Eliminated,287.0
1399,17.9860952452406,1.1868857846303105e-20,Eliminated,288.0
1641,17.97657698405906,1.2189925839904816e-20,Eliminated,289.0
1031,17.96898421035646,1.2452259071939405e-20,Eliminated,290.0
311,17.943519576269527,1.3373984097203386e-20,Eliminated,291.0
2128,17.922268335717902,1.4195210670750712e-20,Eliminated,292.0
730,17.903121074340635,1.497822458732167e-20,Eliminated,293.0
1743,17.860366506391244,1.6886060152793113e-20,Eliminated,294.0
499,17.840389509614983,1.78589816475941e-20,Eliminated,295.0
2123,17.813312248889247,1.9267774429136348e-20,Eliminated,296.0
1016,17.791074116882648,2.0507513476357087e-20,Eliminated,297.0
1128,17.774079245167655,2.150844793556552e-20,Eliminated,298.0
408,17.7584801459043,2.247011292392347e-20,Eliminated,299.0
1791,17.74083212209732,2.3610022790020915e-20,Eliminated,300.0
1983,17.70640697558874,2.600265325549687e-20,Eliminated,301.0
451,17.703676171727416,2.6202520892395873e-20,Eliminated,302.0
1544,17.697914666948094,2.6629258995332436e-20,Eliminated,303.0
2171,17.687449561864014,2.7422231610409685e-20,Eliminated,304.0
838,17.637284809472025,3.1563797839090864e-20,Eliminated,305.0
1835,17.61448010373943,3.36479374320979e-20,Eliminated,306.0
888,17.60871128790783,3.4196610576210876e-20,Eliminated,307.0
1738,17.59774538428597,3.526436377790325e-20,Eliminated,308.0
1571,17.584982710267738,3.6549113715023214e-20,Eliminated,309.0
936,17.574695699357953,3.761863409799314e-20,Eliminated,310.0
2225,17.56986813666862,3.813127907904326e-20,Eliminated,311.0
262,17.526899306171284,4.301326107652341e-20,Eliminated,312.0
1883,17.522395180805706,4.355988792569036e-20,Eliminated,313.0
1063,17.49469808119314,4.7077290176978236e-20,Eliminated,314.0
984,17.48928649283623,4.7797005718552206e-20,Eliminated,315.0
1120,17.44601231509143,5.3962411218476396e-20,Eliminated,316.0
2291,17.43754006049673,5.525951002725593e-20,Eliminated,317.0
1474,17.436575879870336,5.540908748357018e-20,Eliminated,318.0
1666,17.393357050528625,6.254647199555108e-20,Eliminated,319.0
313,17.390920796419564,6.297513172358743e-20,Eliminated,320.0
1283,17.372564688546223,6.630075609743381e-20,Eliminated,321.0
2289,17.35366279654729,6.99088509608191e-20,Eliminated,322.0
1425,17.35287343548693,7.00637264553269e-20,Eliminated,323.0
2219,17.347583598833676,7.111050118660254e-20,Eliminated,324.0
1689,17.319247610716847,7.698979988708813e-20,Eliminated,325.0
2273,17.308165427295577,7.941924492100119e-20,Eliminated,326.0
1330,17.3056560635777,7.997990677024484e-20,Eliminated,327.0
2080,17.29516397591384,8.236731713797857e-20,Eliminated,328.0
1650,17.293898440305266,8.266005580136237e-20,Eliminated,329.0
405,17.283092937817575,8.520227937722019e-20,Eliminated,330.0
